"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Mar 31 16:39:46 GMT 2021","Wed Mar 31 16:39:46 GMT 2021","4","test","test1","tests.LoginTest","tests.LoginTest","setup","setup",""
"passed","Tue Apr 05 22:07:45 GMT 2022","Tue Apr 05 22:07:51 GMT 2022","5860","test","Login","tests.LoginTest","tests.LoginTest","testLoginWithoutSuccessBlankEmail","testLoginWithoutSuccessBlankEmail",""
"broken","Tue Apr 05 23:11:24 GMT 2022","Tue Apr 05 23:11:24 GMT 2022","16","test","Login","tests.LoginTest","tests.LoginTest","loginWithInvalidData","loginWithInvalidData",""
"broken","Tue Apr 05 23:11:24 GMT 2022","Tue Apr 05 23:11:24 GMT 2022","22","test","Login","tests.LoginTest","tests.LoginTest","loginWithInvalidData","loginWithInvalidData",""
"broken","Tue Apr 05 23:01:01 GMT 2022","Tue Apr 05 23:01:05 GMT 2022","3256","Default Suite","SeleniumJavaAutomation","tests.LoginTest","tests.LoginTest","loginWithInvalidData","loginWithInvalidData",""
"broken","Tue Apr 05 23:11:24 GMT 2022","Tue Apr 05 23:11:24 GMT 2022","16","test","Login","tests.LoginTest","tests.LoginTest","loginWithInvalidData","loginWithInvalidData",""
"passed","Wed Apr 06 00:58:02 GMT 2022","Wed Apr 06 00:58:07 GMT 2022","5867","test","Login","test.java.tests.LoginTest","test.java.tests.LoginTest","loginSuccessfully","loginSuccessfully",""
"broken","Tue Apr 05 23:11:24 GMT 2022","Tue Apr 05 23:11:24 GMT 2022","15","test","Login","tests.LoginTest","tests.LoginTest","loginWithInvalidData","loginWithInvalidData",""
"passed","Wed Apr 06 00:58:08 GMT 2022","Wed Apr 06 00:58:11 GMT 2022","3506","test","Login","test.java.tests.LoginTest","test.java.tests.LoginTest","loginWithInvalidData","loginWithInvalidData",""
"broken","Tue Apr 05 23:11:24 GMT 2022","Tue Apr 05 23:11:24 GMT 2022","84","test","Login","tests.LoginTest","tests.LoginTest","loginSuccessfully","loginSuccessfully",""
"passed","Wed Apr 06 00:58:18 GMT 2022","Wed Apr 06 00:58:20 GMT 2022","2115","test","Login","test.java.tests.LoginTest","test.java.tests.LoginTest","loginWithInvalidData","loginWithInvalidData",""
"broken","Tue Apr 05 23:11:24 GMT 2022","Tue Apr 05 23:11:24 GMT 2022","22","test","Login","tests.LoginTest","tests.LoginTest","loginWithInvalidData","loginWithInvalidData",""
"broken","Wed Apr 07 01:15:13 GMT 2021","Wed Apr 07 01:15:22 GMT 2021","8777","Default Suite","SeleniumJavaAutomation","tests.OrderTest","tests.OrderTest","testMakeOrderSuccesfully","testMakeOrderSuccesfully",""
"passed","Wed Apr 06 00:58:14 GMT 2022","Wed Apr 06 00:58:18 GMT 2022","3230","test","Login","test.java.tests.LoginTest","test.java.tests.LoginTest","loginWithInvalidData","loginWithInvalidData",""
"passed","Tue Apr 05 22:07:51 GMT 2022","Tue Apr 05 22:07:57 GMT 2022","6243","test","Login","tests.LoginTest","tests.LoginTest","testLoginWithoutSuccessBlankPassword","testLoginWithoutSuccessBlankPassword",""
"passed","Tue Apr 05 22:07:27 GMT 2022","Tue Apr 05 22:07:45 GMT 2022","18083","test","Login","tests.LoginTest","tests.LoginTest","testLoginSuccessfully","testLoginSuccessfully",""
"passed","Tue Apr 05 22:31:00 GMT 2022","Tue Apr 05 22:31:08 GMT 2022","8404","Default Suite","SeleniumJavaAutomation","tests.LoginTest","tests.LoginTest","loginWithInvalidData","loginWithInvalidData",""
