"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Apr 06 01:15:09 GMT 2022","Wed Apr 06 01:15:09 GMT 2022","1","test","Login","test.java.tests.LoginTest","test.java.tests.LoginTest","setup","setup",""
"skipped","Wed Apr 06 01:15:09 GMT 2022","Wed Apr 06 01:15:09 GMT 2022","1","test","Login","test.java.tests.LoginTest","test.java.tests.LoginTest","loginWithInvalidData","loginWithInvalidData",""
"broken","Tue Apr 05 23:01:01 GMT 2022","Tue Apr 05 23:01:05 GMT 2022","3256","Default Suite","SeleniumJavaAutomation","tests.LoginTest","tests.LoginTest","loginWithInvalidData","loginWithInvalidData",""
"skipped","Wed Apr 06 01:15:09 GMT 2022","Wed Apr 06 01:15:09 GMT 2022","0","test","Login","test.java.tests.LoginTest","test.java.tests.LoginTest","loginWithInvalidData","loginWithInvalidData",""
"skipped","Wed Apr 06 01:15:09 GMT 2022","Wed Apr 06 01:15:09 GMT 2022","0","test","Login","test.java.tests.LoginTest","test.java.tests.LoginTest","loginWithInvalidData","loginWithInvalidData",""
"skipped","Wed Apr 06 01:15:09 GMT 2022","Wed Apr 06 01:15:09 GMT 2022","0","test","Login","test.java.tests.LoginTest","test.java.tests.LoginTest","loginWithInvalidData","loginWithInvalidData",""
"skipped","Wed Apr 06 01:15:09 GMT 2022","Wed Apr 06 01:15:09 GMT 2022","0","test","Login","test.java.tests.LoginTest","test.java.tests.LoginTest","loginWithInvalidData","loginWithInvalidData",""
"passed","Tue Apr 05 22:08:01 GMT 2022","Tue Apr 05 22:08:04 GMT 2022","2456","test","Login","tests.LoginTest","tests.LoginTest","testLoginWithoutSuccessIncorrectPassword","testLoginWithoutSuccessIncorrectPassword",""
"skipped","Wed Apr 06 01:15:09 GMT 2022","Wed Apr 06 01:15:09 GMT 2022","2","test","Login","test.java.tests.LoginTest","test.java.tests.LoginTest","loginSuccessfully","loginSuccessfully",""
"passed","Tue Apr 05 22:07:45 GMT 2022","Tue Apr 05 22:07:51 GMT 2022","5860","test","Login","tests.LoginTest","tests.LoginTest","testLoginWithoutSuccessBlankEmail","testLoginWithoutSuccessBlankEmail",""
"passed","Tue Apr 05 22:07:51 GMT 2022","Tue Apr 05 22:07:57 GMT 2022","6243","test","Login","tests.LoginTest","tests.LoginTest","testLoginWithoutSuccessBlankPassword","testLoginWithoutSuccessBlankPassword",""
"skipped","Wed Apr 06 01:15:09 GMT 2022","Wed Apr 06 01:15:09 GMT 2022","0","test","Login","test.java.tests.LoginTest","test.java.tests.LoginTest","loginWithInvalidData","loginWithInvalidData",""
"passed","Tue Apr 05 22:24:55 GMT 2022","Tue Apr 05 22:25:08 GMT 2022","12314","Default Suite","SeleniumJavaAutomation","tests.LoginTest","tests.LoginTest","testLoginWithoutSuccessIncorrectEmail","testLoginWithoutSuccessIncorrectEmail",""
"passed","Tue Apr 05 22:30:40 GMT 2022","Tue Apr 05 22:30:49 GMT 2022","8280","Default Suite","SeleniumJavaAutomation","tests.LoginTest","tests.LoginTest","loginWithInvalidData","loginWithInvalidData",""
"passed","Tue Apr 05 22:31:00 GMT 2022","Tue Apr 05 22:31:08 GMT 2022","8404","Default Suite","SeleniumJavaAutomation","tests.LoginTest","tests.LoginTest","loginWithInvalidData","loginWithInvalidData",""
"broken","Wed Apr 07 01:15:13 GMT 2021","Wed Apr 07 01:15:22 GMT 2021","8777","Default Suite","SeleniumJavaAutomation","tests.OrderTest","tests.OrderTest","testMakeOrderSuccesfully","testMakeOrderSuccesfully",""
"broken","Tue Apr 05 23:11:24 GMT 2022","Tue Apr 05 23:11:24 GMT 2022","15","test","Login","tests.LoginTest","tests.LoginTest","loginWithInvalidData","loginWithInvalidData",""
"broken","Tue Apr 05 23:11:24 GMT 2022","Tue Apr 05 23:11:24 GMT 2022","31","test","Login","tests.LoginTest","tests.LoginTest","loginWithInvalidData","loginWithInvalidData",""
